[2021-12-05 21:20:29,901][model.py][line:24][INFO] start training!
[2021-12-05 21:20:30,116][model.py][line:55][INFO] Training epoch£º0 , Loss: 0.459741	, Validation Loss£º0.83%	, Validation Accuracy: 0.32%
[2021-12-05 21:20:31,530][model.py][line:55][INFO] Training epoch£º0 , Loss: 0.644663	, Validation Loss£º0.63%	, Validation Accuracy: 0.68%
[2021-12-05 21:20:32,944][model.py][line:55][INFO] Training epoch£º0 , Loss: 0.642868	, Validation Loss£º0.63%	, Validation Accuracy: 0.68%
[2021-12-05 21:20:34,346][model.py][line:55][INFO] Training epoch£º0 , Loss: 0.636438	, Validation Loss£º0.60%	, Validation Accuracy: 0.68%
[2021-12-05 21:20:34,801][model.py][line:55][INFO] Training epoch£º1 , Loss: 0.634697	, Validation Loss£º0.60%	, Validation Accuracy: 0.70%
[2021-12-05 21:20:36,198][model.py][line:55][INFO] Training epoch£º1 , Loss: 0.619925	, Validation Loss£º0.53%	, Validation Accuracy: 0.74%
[2021-12-05 21:20:37,644][model.py][line:55][INFO] Training epoch£º1 , Loss: 0.599262	, Validation Loss£º0.52%	, Validation Accuracy: 0.81%
[2021-12-05 21:20:39,052][model.py][line:55][INFO] Training epoch£º1 , Loss: 0.577558	, Validation Loss£º0.44%	, Validation Accuracy: 0.81%
[2021-12-05 21:20:39,510][model.py][line:55][INFO] Training epoch£º2 , Loss: 0.573960	, Validation Loss£º0.48%	, Validation Accuracy: 0.82%
[2021-12-05 21:20:40,903][model.py][line:55][INFO] Training epoch£º2 , Loss: 0.555380	, Validation Loss£º0.41%	, Validation Accuracy: 0.82%
[2021-12-05 21:20:42,313][model.py][line:55][INFO] Training epoch£º2 , Loss: 0.538411	, Validation Loss£º0.44%	, Validation Accuracy: 0.84%
[2021-12-05 21:20:43,714][model.py][line:55][INFO] Training epoch£º2 , Loss: 0.523587	, Validation Loss£º0.37%	, Validation Accuracy: 0.84%
[2021-12-05 21:20:44,152][model.py][line:55][INFO] Training epoch£º3 , Loss: 0.521242	, Validation Loss£º0.43%	, Validation Accuracy: 0.85%
[2021-12-05 21:20:45,561][model.py][line:55][INFO] Training epoch£º3 , Loss: 0.508978	, Validation Loss£º0.36%	, Validation Accuracy: 0.86%
[2021-12-05 21:20:46,965][model.py][line:55][INFO] Training epoch£º3 , Loss: 0.497280	, Validation Loss£º0.40%	, Validation Accuracy: 0.86%
[2021-12-05 21:20:48,383][model.py][line:55][INFO] Training epoch£º3 , Loss: 0.487000	, Validation Loss£º0.34%	, Validation Accuracy: 0.85%
[2021-12-05 21:20:48,804][model.py][line:55][INFO] Training epoch£º4 , Loss: 0.485410	, Validation Loss£º0.41%	, Validation Accuracy: 0.86%
[2021-12-05 21:20:50,178][model.py][line:55][INFO] Training epoch£º4 , Loss: 0.476690	, Validation Loss£º0.33%	, Validation Accuracy: 0.87%
[2021-12-05 21:20:51,589][model.py][line:55][INFO] Training epoch£º4 , Loss: 0.468200	, Validation Loss£º0.38%	, Validation Accuracy: 0.86%
[2021-12-05 21:20:53,029][model.py][line:55][INFO] Training epoch£º4 , Loss: 0.460604	, Validation Loss£º0.32%	, Validation Accuracy: 0.86%
[2021-12-05 21:20:53,492][model.py][line:55][INFO] Training epoch£º5 , Loss: 0.459437	, Validation Loss£º0.40%	, Validation Accuracy: 0.86%
